u,v,w1,w2,w3
4682,15192,436,853,1
6477,15156,281,550,1
7047,7051,16,14,1
9970,15015,142,277,1
13756,13776,137,119,1
14369,14975,431,843,1
8344,12489,50,44,1
5962,5963,45,40,123
9186,15131,72,141,1
10829,15219,280,547,1
3796,15244,231,452,1
7819,15128,129,252,1
14872,15124,327,640,1
14622,14624,74,45,25
9011,15084,150,294,1
5218,6630,4,3,1
14753,14948,176,344,1
1883,1884,5,4,1
11813,15146,281,549,1
12683,14316,63,44,602
9592,15176,224,438,1
13928,15088,246,481,1
10006,15200,268,523,1
14696,15197,186,363,1
1367,15275,302,591,1
8855,9603,43,27,143
519,521,30,28,256
3723,15024,388,759,1
3413,5941,8,5,1
13051,15088,318,621,1
5682,15023,566,1106,1
1854,15078,280,547,1
1477,15271,272,532,1
8035,13467,140,122,1
10620,15175,295,577,1
1899,15077,145,283,1
4770,15211,90,176,1
13880,14607,70,43,160
12820,15074,234,458,1
12097,15283,164,321,1
10350,12792,18,16,227
5063,15296,257,502,1
5770,15005,214,418,1
14342,15010,356,696,1
12622,14958,331,648,1
10981,15032,312,610,1
12424,13089,38,35,366
7395,14991,290,567,1
13461,15238,111,217,1
4078,15099,333,650,1
10160,14965,421,824,1
8289,15210,13,25,1
10737,15258,202,396,1
5669,15178,363,710,1
6311,14968,308,603,1
14462,15037,264,516,1
13671,15088,85,167,3
14156,14983,568,1110,1
5328,5329,46,55,1300
4453,15036,263,514,1
12609,14205,46,20,40
14293,15163,226,441,1
11117,15042,342,669,1
5997,5998,45,28,94
1251,1253,79,69,7
1377,14981,335,656,1
1021,14997,392,766,1
11223,11224,29,25,31
2805,15214,122,239,1
7670,15090,272,531,1
6043,15125,418,818,1
7648,7649,54,47,8
3167,15279,376,735,1
8304,15227,128,249,1
7393,14991,273,533,1
5627,15171,242,473,1
8274,15173,141,276,1
1951,15073,378,739,1
460,14970,374,730,1
4995,15039,480,939,1
6967,10710,37,32,104
2935,15228,167,327,1
13463,15107,150,293,1
4543,15100,330,645,1
11750,14961,360,704,1
14646,15055,396,774,1
1549,15008,165,323,1
11430,15182,191,374,1
9685,9693,35,32,282
8720,15078,242,472,1
7897,15196,22,43,14
13648,15136,324,634,1
3881,15268,283,552,1
14486,14983,1054,2061,1
14493,15133,385,752,1
13769,13771,155,68,47
8782,15144,269,525,1
5580,15046,1149,2245,1
12339,12353,80,69,24
13661,15144,268,524,1
593,14392,251,161,289
7506,14976,273,534,1
13542,15215,31,60,4
5483,15044,368,719,1
14105,15052,428,838,1
5330,15048,757,1480,1
10239,15210,211,412,1
14506,14507,19,16,39
4440,15162,489,957,1
5183,5583,40,35,1
8992,15056,297,580,1
6609,15002,247,483,1
11989,14994,276,539,1
7316,7318,70,62,105
1764,15162,365,713,2
4866,15164,294,575,1
2681,2682,7,6,35
11516,14961,250,488,1
2402,15068,244,477,1
9802,15058,277,541,1
11080,15022,237,463,1
5031,5032,6,6,99
1143,1145,324,282,5
14002,15210,237,463,1
9686,9687,54,47,76
12871,15121,158,309,1
6318,14968,368,719,1
14058,15298,423,826,1
2705,2706,101,87,11
10101,15026,324,633,1
2944,15182,311,608,1
806,807,372,246,421
12828,15277,18,35,2
7431,15221,360,703,1
3036,4977,11,10,1
13933,15088,71,138,1
1654,15011,306,598,1
4692,15215,269,526,1
576,14984,779,1524,1
7109,15267,354,692,1
9696,15035,397,776,1
5006,15149,233,455,1
9756,15175,89,174,1
7231,15083,290,566,1
6373,6374,85,74,1
6295,15018,548,1072,1
91,92,12,10,1
4854,4855,17,15,1
4320,5290,43,39,164
1264,1265,74,64,7
8908,15060,321,628,1
11236,15117,428,837,1
10990,15014,343,671,1
6383,15143,329,644,1
9274,14987,295,577,1
5423,5425,23,20,1
14623,15125,128,251,1
8169,15240,322,629,1
5184,15165,351,686,1
5535,15126,256,500,1
2963,2970,3,2,201
3362,15238,267,522,1
1777,15003,105,206,1
7327,7328,7,6,1
4637,15193,225,439,1
551,558,8,7,43
14303,15167,108,211,1
4197,4199,35,31,1
6333,6334,5,5,1
1333,14971,342,669,1
12125,15176,203,397,1
8931,15241,299,584,1
8135,15218,437,855,1
10479,15192,275,538,1
11360,15295,284,554,1
4082,15099,308,602,1
4570,15136,355,694,1
13413,13526,339,322,399
5948,15256,321,628,1
13594,15141,280,547,1
13897,15125,154,301,1
4032,15101,95,186,1
11389,14963,454,887,1
10992,15014,356,696,1
13013,15096,187,365,1
9248,14959,433,846,1
4114,15095,276,540,1
10411,10836,108,95,71
4350,15039,570,1114,1
4482,15103,412,806,1
11165,15262,126,247,1
11002,15265,176,345,1
14523,14991,258,505,1
3436,14814,93,57,99
13302,15259,248,485,1
11389,11656,16,9,29
10721,14983,337,659,1
14345,15010,294,575,1
14161,14164,7,6,1
1176,13708,328,285,1
13810,14969,504,985,1
14626,14629,73,45,173
11712,15258,263,514,1
8932,15241,269,526,1
10689,15032,253,495,1
14481,15033,396,773,1
9839,14356,62,54,1
12404,15257,89,174,1
1352,1353,47,41,1
14710,15097,109,213,1
12519,14989,290,567,1
8855,14968,391,765,1
7382,14991,271,530,1
5803,14996,371,725,1
11316,12960,30,26,4
13379,13704,501,272,915
2520,15102,308,602,1
7057,7062,12,10,1
13073,13074,35,32,229
3419,3420,87,59,565
47,15033,231,452,1
11209,15195,345,674,1
305,15089,342,669,1
9570,15078,162,318,1
12480,15176,19,36,1
6075,15088,232,453,1
7511,15113,494,966,1
14301,15167,83,163,1
3608,14979,394,770,1
13656,15141,240,469,1
117,15065,557,1088,1
10508,15256,378,738,1
6294,6301,7,6,1
10406,15236,165,323,1
10835,15233,353,689,1
13764,14979,281,550,1
10898,15158,64,126,3
10305,15244,42,82,1
1913,9561,80,72,158
12605,15275,37,72,1
825,15253,462,903,1
7060,15083,300,587,1
1102,15046,970,1897,1
7503,14976,316,618,1
6641,6644,2,2,1
10381,15016,218,426,1
13999,15198,379,741,1
14525,14526,99,86,1
3025,15255,289,565,1
8471,15183,324,634,1
14549,15114,291,569,1
14889,15297,236,461,1
7135,14946,1079,2110,1
5395,14991,197,385,1
2895,15225,342,668,1
9233,14996,309,603,1
4020,15215,242,473,1
8975,15144,173,339,1
5050,8998,78,80,684
2685,15268,429,838,1
12086,12087,12,10,2
7155,7157,67,58,1
739,14983,778,1522,1
2874,2876,62,54,26
487,15167,294,574,1
206,15059,256,500,1
1036,14997,360,704,1
8686,15253,73,143,1
7652,15089,433,847,1
9688,15035,373,730,1
13269,15096,303,592,1
1318,13713,606,275,211
14680,15169,156,304,1
7689,15046,553,1081,1
12222,15044,192,374,1
4587,14989,325,635,1
14218,14219,188,86,250
4289,14565,83,54,394
6254,14949,562,1099,1
10746,15254,332,648,1
13721,14214,10,4,145
11604,15163,108,211,1
4667,15194,54,105,1
13444,13445,33,18,870
1299,1300,6,5,61
7799,15270,409,799,1
14922,15153,77,151,1
11040,15230,234,458,1
3876,15048,285,557,1
7627,15225,352,688,1
5687,6235,8,4,177
6952,15098,225,440,1
7591,15112,220,430,1
8447,13425,46,40,57
5022,5024,1,1,113
11580,15056,308,602,1
10926,10927,60,52,8
143,15023,204,398,1
3485,15280,290,568,1
14751,14948,137,268,1
7852,15071,118,232,1
14005,15210,321,628,1
11973,14955,489,956,1
3774,15020,355,694,1
2645,15062,360,704,1
14621,15125,120,235,1
638,14991,1064,2081,1
5058,15149,265,517,1
11266,15267,419,819,1
11790,15162,426,833,1
384,385,24,21,1
5808,14997,287,560,1
8403,15043,168,329,1
11064,15062,252,493,1
12550,15258,283,553,1
13803,14504,279,178,288
13287,15258,380,744,1
7208,15020,272,532,1
10266,13203,33,29,29
5650,15060,29,56,1
14825,15282,287,560,1
5770,6858,24,15,289
6704,15196,325,636,1
3750,5741,56,35,259
12028,12360,32,28,110
4011,14964,343,671,1
9149,14955,237,462,1
4606,14987,361,706,1
9451,14958,317,620,1
5628,5629,2,2,1
2017,15088,136,265,1
5810,14997,307,599,1
7264,15293,533,1042,1
11397,15052,155,304,3
10727,15282,268,525,1
11195,15096,274,535,1
8300,15227,126,247,1
9727,14980,363,709,1
13343,15052,469,917,1
8507,15216,114,223,1
13147,15280,364,712,1
10170,12262,33,29,67
3882,15289,137,267,1
1891,15077,213,417,1
6356,14990,836,1633,1
13488,13490,63,55,74
13044,15167,281,550,1
6014,15253,596,1164,1
9939,11011,40,35,50
9202,15282,276,540,1
1263,5732,83,72,7
2270,2272,16,7,37
12889,15270,38,74,1
4154,14994,105,205,1
561,5926,20,17,1
11523,14961,371,725,1
14424,15011,313,612,1
12466,15287,210,410,1
3019,14958,527,1030,1
455,7362,157,136,1
13483,14951,197,386,1
1593,14956,272,532,1
11349,15186,326,638,1
12675,15214,281,550,1
4197,15027,713,1394,1
13002,15284,58,114,1
14648,15056,315,615,1
14351,15010,70,137,1
11722,11723,133,116,1
5896,5899,26,22,1
604,15007,315,615,1
98,15020,98,193,1
5630,5632,6,6,18
3311,15184,334,654,1
8000,15137,352,688,1
7973,15133,255,499,1
13272,13273,32,28,95
9080,15256,224,438,1
4098,15096,356,696,1
5045,15204,199,389,1
3902,14964,348,681,1
12870,15121,156,306,1
13530,15017,177,346,1
4462,15036,264,516,1
14370,14975,385,752,1
8004,15087,184,361,1
1329,14984,439,859,1
939,15045,198,387,1
5741,15002,386,755,1
2966,2968,3,1,61
2671,15053,310,605,1
12974,13200,50,45,129
10198,15179,162,316,1
11380,15211,271,530,1
7636,15179,185,361,1
7522,15046,968,1893,1
7729,15297,275,538,1
8468,15229,210,410,1
4444,4445,39,34,45
111,15065,631,1234,1
192,15201,386,754,1
2607,4848,10,9,1
1076,15048,570,1114,1
10039,15250,111,217,1
13787,15180,251,490,1
12177,12178,64,56,49
7369,14978,183,358,1
10380,15016,216,423,1
7187,14991,294,574,1
6957,6958,58,51,1
11612,15156,320,626,1
8253,15146,117,229,1
3694,3695,5,4,1
3604,9923,31,27,46
8140,14998,126,246,1
4659,13714,85,86,674
4434,15194,306,599,1
8379,15133,171,335,1
9551,15293,316,617,1
14610,15088,236,462,1
4645,15208,284,554,1
5564,15043,371,726,1
4187,15027,728,1423,1
7457,15083,321,628,1
1794,15088,420,822,1
