u,v,w1,w2,w3
9427,9424,161,102,233
14981,12991,199,388,1
9437,10568,32,28,87
641,642,76,67,14
836,7299,99,86,34
15144,5042,329,642,1
14746,14745,62,54,10
536,539,390,260,1733
14224,12569,29,13,343
14954,6073,387,756,1
15046,7519,909,1776,1
14946,7144,1002,1958,1
962,963,7,6,1
2511,2512,39,34,101
2602,2603,32,30,351
15007,5901,472,922,1
14621,14623,12,7,173
11487,11485,45,39,17
931,932,80,52,347
5626,5628,4,4,353
7211,7214,31,27,1
3905,4213,8,7,1
3104,5685,269,233,1
15141,13555,135,264,1
14578,14579,36,32,92
3766,3761,67,59,91
15105,10430,242,472,1
15146,10347,229,448,1
2641,2650,14,13,1
11284,11282,30,29,496
2863,14441,39,34,1
15088,14619,152,298,1
2541,3267,78,71,235
15215,7665,195,382,1
2434,8019,31,28,170
14384,14382,66,72,941
2948,2949,24,11,15
13291,13690,209,97,304
4536,4540,38,33,31
15261,5826,355,694,1
12555,10620,39,35,140
3087,3088,6,4,1
15175,7693,248,486,1
15215,3930,226,441,1
2063,15192,181,354,1
5799,13454,80,70,31
10700,12839,53,46,25
15121,12871,158,309,1
2152,5919,17,16,339
15122,11662,118,231,1
410,411,33,28,3
2332,15087,689,1346,1
12283,15234,115,225,5
9979,1595,70,44,164
15269,12723,376,736,1
2023,2492,31,27,1
4664,4051,32,29,90
772,769,322,286,130
15264,13204,221,431,1
14991,632,1052,2056,1
15214,5597,311,609,1
15125,13923,104,203,1
10347,10349,41,36,42
9165,9167,60,52,1
6877,6878,8,7,113
15010,6515,228,446,1
1388,13068,36,31,23
15241,8939,209,408,1
15242,8162,159,311,1
15222,556,345,674,1
15237,3369,287,561,1
8222,8221,33,30,256
1096,1103,52,45,1
15139,8055,187,366,1
7075,7076,241,210,1
15276,1415,498,973,1
15001,12510,18,35,2
150,149,10,6,88
7814,8369,55,48,33
15283,346,120,235,1
15075,13089,294,575,1
5176,5180,190,180,377
847,3068,7,6,247
9749,9944,40,35,41
176,177,65,58,144
15239,7279,225,439,1
582,13865,49,32,343
11738,1510,80,51,235
11893,11889,76,66,1
2099,2101,26,22,60
11943,11941,28,26,245
15006,379,509,994,1
15287,2737,308,602,1
1983,1984,42,37,10
11050,9961,48,42,6
6426,6425,10,9,46
15038,4237,424,828,1
15008,13756,319,624,1
4526,957,23,15,446
3694,3698,5,4,293
