u,v,w1,w2,w3
8966,8967,46,40,1
5523,10887,17,15,167
7992,9734,30,26,1
11623,15220,216,421,1
13862,15087,294,574,1
11135,15145,253,494,1
9340,14961,185,362,1
98,15020,98,193,1
3580,15230,200,390,1
11306,15283,246,482,1
8174,15320,233,455,1
3334,3336,7,7,68
11536,11537,43,37,2
9792,15116,866,1694,1
13732,15254,177,345,1
6020,10182,32,21,468
2576,15144,322,629,1
6478,8785,295,219,2182
9273,14989,251,491,1
13648,13649,63,28,192
13697,15060,251,490,1
12389,15054,336,658,1
9870,9872,52,47,186
14358,14975,29,56,1
13320,15051,290,568,1
13614,15124,151,295,3
5862,5863,60,54,165
4060,15126,293,572,1
4106,15125,306,598,1
13103,15097,186,363,1
5612,15171,266,519,1
549,545,26,23,5
12098,15283,215,420,1
2624,15037,335,655,1
11864,15060,324,634,1
6586,15038,450,880,1
2076,15265,385,753,1
12493,12494,32,30,383
5376,5377,6,6,61
6927,14991,665,1299,1
5120,15203,298,583,1
13880,14594,39,35,86
3248,15039,284,556,1
13288,15193,182,356,1
2506,15180,160,313,1
3955,15264,345,674,1
829,15277,381,746,1
11963,15021,382,748,1
4664,5704,35,30,18
9462,15250,121,236,1
10601,15126,264,516,1
433,14344,81,71,1
2004,15080,438,857,1
443,15010,266,521,1
11563,14992,237,462,1
6551,15049,542,1059,1
9490,15289,56,110,1
7020,7233,303,133,67
4531,4532,37,32,1
10904,10905,94,84,174
1983,15077,246,480,1
12362,15278,218,426,1
12777,14145,14,8,30
15049,2152,420,820,1
7647,15011,170,332,1
11914,11918,35,31,33
2754,15020,334,653,1
9502,10689,35,31,46
11179,14988,323,631,1
2263,15038,758,1482,1
11410,11645,65,56,6
7874,7877,43,38,98
10119,10120,21,19,1
12980,14982,179,351,1
1622,5564,32,20,1
12929,12936,83,54,406
14926,15191,54,106,1
3649,14991,269,526,1
9218,15124,236,461,1
3459,9954,60,37,156
13379,15272,313,611,1
8310,15240,248,485,1
13343,15052,469,917,1
9736,15144,253,494,1
5166,14955,552,1079,1
13758,13759,96,84,1
9600,14968,286,559,1
13684,13685,349,166,411
362,14983,137,268,1
1078,6694,43,37,1
12299,15118,50,97,1
12283,15234,115,225,5
10340,15259,210,411,1
13558,15124,131,257,1
7388,7389,4,3,8
521,15156,330,645,1
10170,15166,72,140,1
9994,15061,255,499,1
12058,12070,144,125,36
5450,5451,4,3,1
