u,v,w1,w2,w3
15184,6412,164,321,1
4345,4344,49,43,52
4519,4521,94,81,1
1531,1532,15,13,6
15027,13440,452,883,1
1894,1892,237,206,1
6888,6889,42,37,38
2049,14963,545,1065,1
239,12606,75,65,1
12813,12812,65,60,270
3417,3419,63,43,565
2641,2650,14,13,1
1114,1115,47,40,1
12290,12291,32,28,64
15230,2396,121,237,1
6820,6821,11,9,9
14983,1154,473,925,1
15296,7910,280,548,1
15203,14267,291,568,1
15013,798,276,539,1
15264,12056,160,312,1
8830,10516,70,61,46
66,12792,18,16,227
1909,1906,71,62,7
14988,12100,225,439,1
5985,5987,45,53,1228
9116,9130,328,159,474
15085,6959,280,548,1
15038,5453,382,746,1
5495,5497,129,112,1
8664,8665,14,14,468
12038,12024,323,141,1
10674,8705,165,143,1
13852,13851,81,49,54
852,853,64,41,322
15286,3112,189,370,1
8158,13017,161,140,11
15141,13556,259,506,1
11229,11163,31,27,32
15156,11379,237,464,1
1972,1973,8,7,1
3897,3900,33,29,1
12730,11051,21,19,6
13972,13971,72,53,850
9362,12987,40,35,85
4200,4254,30,28,262
6274,6578,58,38,335
2619,3805,79,72,201
7420,7421,2,2,1
4653,4651,72,68,359
3510,3886,66,60,210
14963,6187,438,856,1
5095,5097,29,26,100
7380,7379,45,41,183
1071,1072,78,47,7
3613,3615,67,60,140
11879,12358,48,42,1
4034,10662,36,33,347
9148,9150,20,18,217
1551,1552,115,100,1
15159,8495,145,283,1
15071,6752,329,642,1
648,1069,394,267,515
3582,2397,73,64,84
6852,70,4,3,1
414,15309,579,1132,1
13835,15089,377,737,1
3362,3366,4,2,19
4371,4372,40,37,293
1683,1717,30,28,335
11977,11193,107,93,1
2688,13272,158,139,95
15223,3945,247,483,1
5467,773,103,89,1
5911,6264,526,252,437
15045,5765,196,384,1
10565,2698,115,100,6
1817,1832,64,56,64
3919,3920,2,2,135
6209,8451,39,37,495
6002,6003,278,164,1252
457,458,76,68,185
5383,5381,7,7,377
11778,13596,11,9,136
14954,2990,348,680,1
15145,11811,190,372,1
779,5287,6,4,158
12444,12445,28,24,50
15131,6797,244,477,1
6252,6251,418,191,243
449,447,78,72,276
15125,6984,118,231,1
15038,12863,244,478,1
13660,13609,311,135,1
15081,5782,452,884,1
742,5253,7,6,1
1462,1463,7,6,1
848,3074,70,46,345
4420,4423,20,17,1
15270,7720,150,293,1
986,989,76,52,554
4886,4888,28,25,1
692,2169,177,77,40
15007,5144,400,782,1
12051,9102,81,70,4
4779,4781,83,78,383
5784,4525,23,14,205
15174,9402,155,303,1
6486,15017,174,341,1
15098,9300,190,371,1
8565,8563,122,106,3
14067,14768,25,22,1
9774,9775,40,26,423
38,7366,30,26,1
469,2227,7,8,815
10985,7165,37,33,55
14409,14404,121,105,1
2886,15148,244,477,1
1067,1065,21,13,18
15135,10189,188,367,1
2241,7545,44,50,1070
2768,2769,25,22,5
2206,10685,31,28,54
14984,12042,130,254,1
767,766,25,22,1
2127,15114,276,539,1
4672,4673,7,6,1
15249,3866,280,547,1
5043,5094,54,47,3
3107,2679,6,5,1
4699,4701,6,5,109
826,827,16,10,1
14967,11210,284,556,1
564,8392,161,140,1
5114,5115,32,28,25
12582,12584,111,97,40
11994,12009,12,11,43
6287,6300,30,30,554
5118,5119,7,6,1
15137,9594,153,300,1
4344,9831,22,20,52
15172,9943,163,318,1
4857,4858,120,104,6
15207,2488,388,758,1
6860,6862,35,30,6
14965,5719,285,557,1
15048,12614,505,987,1
9469,9467,45,41,181
10107,12396,46,40,1
758,761,54,35,402
14189,14694,40,39,531
14991,3648,440,860,1
3794,6077,29,25,34
7301,6266,362,158,22
15095,13940,239,467,1
15269,11524,173,338,1
8641,7923,61,64,795
3953,3962,51,47,356
181,183,215,97,196
14967,12768,322,629,1
3591,3593,24,22,227
15103,4420,351,686,1
15233,5415,96,187,1
2228,2229,47,41,5
12365,1232,41,36,72
14775,14773,32,28,24
5649,5650,8,7,184
5489,5490,3,3,43
14948,14783,327,640,1
6175,6177,32,28,15
7689,14482,45,39,1
10567,10566,31,28,87
5651,8695,39,36,254
8717,8716,40,35,1
15030,5879,229,448,1
10147,10148,68,61,157
14985,3642,229,448,1
13481,13650,81,37,198
15279,3158,237,464,1
1733,1735,205,207,654
3660,3661,78,67,1
1157,14486,19,16,1
11812,11813,39,34,79
6401,6410,4,3,1
9524,11103,31,27,7
8450,8449,32,31,495
15198,13998,388,759,1
14997,8033,193,378,1
12300,12299,9,8,64
13126,13127,35,30,1
15253,5832,512,1001,1
9249,9250,25,22,57
965,15289,338,661,1
1060,15046,927,1812,1
5392,5399,68,59,1
915,15001,338,660,1
2194,2196,84,79,386
2018,2017,56,34,86
6970,2086,75,65,1
2180,2182,119,77,308
3513,3514,80,70,33
12531,7787,25,22,1
7252,14741,47,34,693
15204,5046,203,397,1
15288,9479,11,21,2
6597,6590,13,11,1
13936,13935,19,9,422
12319,12320,2,2,275
4138,5806,20,14,582
11367,1430,213,185,1
15170,8516,47,92,4
14969,1066,563,1101,1
5193,6550,45,41,164
10210,10910,40,35,1
11740,11742,48,43,98
2733,2752,76,69,191
15164,4860,150,293,1
14948,6533,399,780,1
725,14954,412,806,1
9294,9293,24,22,172
15136,6022,180,352,1
1217,1214,43,41,359
14974,10177,315,616,1
3605,3607,82,71,16
15244,10306,68,134,1
13385,13386,31,33,854
6709,6711,61,38,204
6901,2763,19,17,36
5719,5721,49,34,620
14947,151,300,586,1
13654,15141,315,616,1
5425,5430,53,46,1
3217,3218,10,9,1
212,4572,48,42,10
15257,11714,456,891,1
15226,8789,159,312,1
15283,11886,235,458,1
14507,10336,6,5,39
7144,7135,556,242,1
3304,3302,80,69,10
4090,15096,353,690,1
15027,13231,65,128,15
14666,11018,3,2,271
15253,9657,270,528,1
14224,14226,5,2,345
222,225,59,52,105
12576,11276,40,36,157
15225,9886,372,728,1
14999,11473,335,656,1
15088,14617,188,367,1
15156,2609,320,626,1
15143,12292,83,162,1
15033,7952,294,575,1
3025,3028,71,63,179
15155,14232,120,235,1
2752,10557,124,107,1
10708,8744,33,30,97
6846,13872,44,26,28
800,801,73,68,326
13592,5626,33,30,353
2680,2682,310,270,1
7807,9233,114,99,5
12356,12354,13,11,40
12661,12663,24,17,557
14905,14918,138,120,5
15181,4146,326,637,1
15011,2852,309,605,1
12569,14221,33,15,33
15169,3524,331,648,1
7944,7946,22,19,158
14961,11517,227,444,1
14101,14100,138,64,287
15167,3477,243,475,1
5833,5829,63,42,468
13468,13846,8,7,16
3252,4235,9,8,1
9343,11968,31,27,43
14675,6557,50,43,4
345,7726,7,7,543
9647,11061,57,51,115
15247,9456,358,699,1
915,14513,77,50,340
15087,9141,415,811,1
15277,12948,192,375,1
10051,12288,44,38,20
1897,1959,7,8,849
10270,12529,97,88,241
6733,11764,33,28,31
1816,13186,17,15,3
4835,4836,37,32,4
6154,6155,31,27,9
7400,7401,62,54,1
11847,11855,31,28,150
75,76,3,3,28
1603,1601,60,41,523
5428,11880,25,22,33
3952,4320,77,67,1
13163,13165,39,35,187
1589,14956,415,812,1
339,353,81,80,543
7470,7471,33,30,141
1616,4636,67,58,22
15250,7704,272,532,1
14986,3794,317,619,1
881,883,53,33,123
5439,5440,1,1,201
9212,12438,43,37,4
14503,14498,5,2,32
7693,7695,159,141,109
14957,8444,75,146,1
5687,6236,65,59,167
15034,10068,174,341,1
15218,8130,363,710,1
15272,13423,188,367,1
1115,1116,8,7,7
14989,8981,214,417,1
6867,6868,5,5,1
7484,734,180,110,84
15282,2067,315,616,1
708,731,14,12,1
15085,7020,275,537,1
15065,9373,348,681,1
2951,6050,13,12,519
2186,1393,49,30,123
15118,5090,234,457,1
1856,1860,60,52,1
11847,11835,32,28,150
15078,6672,285,557,1
1099,5183,38,33,1
14984,1273,341,667,1
1765,13669,10,4,27
15116,5913,678,1325,1
13910,13948,46,40,11
2807,2806,35,31,123
3313,3315,67,66,512
